.tt$,105,199895,41977950
..tt.,3127,196873,1231243742
.tq$,0,200000,0
..tq.,8,199992,3199872
.ts$,730,199270,290934200
^.tq,0,200000,0
^.ts,43,199957,17196302
^.tt,157,199843,62750702
..ts.,2121,197879,839402718
^.tr,943,199057,375421502
.tr$,5,199995,1999950
..tr.,8205,191795,3147355950
..tp.,172,199828,68740832
.tp$,3,199997,1199982
^.tp,6,199994,2399928
.to$,303,199697,121016382
^.to,412,199588,164460512
.tn$,5,199995,1999950
.tm$,0,200000,0
^.tn,15,199985,5999550
..tm.,657,199343,261936702
..to.,10001,189999,3800359998
..tn.,1044,198956,415420128
^.tm,25,199975,9998750
.tk$,0,200000,0
.tj$,0,200000,0
..tl.,849,199151,338158398
.tl$,29,199971,11598318
..tk.,631,199369,251603678
^.tk,17,199983,6799422
..tj.,157,199843,62750702
^.tl,70,199930,27990200
^.tj,22,199978,8799032
..th.,5247,194753,2043737982
.th$,42,199958,16796472
.tg$,0,200000,0
^.th,137,199863,54762462
..tg.,248,199752,99076992
.ti$,1636,198364,649047008
^.tg,9,199991,3599838
^.ti,376,199624,150117248
.tf$,2,199998,799992
..ti.,13098,186902,4896084792
^.tf,17,199983,6799422
..tf.,250,199750,99875000
.td$,0,200000,0
..td.,87,199913,34784862
^.td,10,199990,3999800
.tb$,0,200000,0
..tc.,290,199710,115831800
.tc$,0,200000,0
..tb.,335,199665,133775550
^.tb,12,199988,4799712
^.te,1031,198969,410274078
.te$,2635,197365,1040113550
..te.,17780,182220,6479743200
^.tc,7,199993,2799902
.sz$,175,199825,69938750
^.sz,63,199937,25192062
..sz.,1776,198224,704091648
^.ta,806,199194,321100728
.ta$,4840,195160,1889148800
..sy.,966,199034,384533688
..ta.,10518,189482,3985943352
.sy$,35,199965,13997550
^.sy,135,199865,53963550
.sy$,35,199965,13997550
..sy.,966,199034,384533688
.sw$,0,200000,0
^.sy,135,199865,53963550
^.s.,4690,195310,1832007800
^.sw,13,199987,5199662
.sv$,2,199998,799992
..sw.,319,199681,127396478
.s.$,6494,193506,2513255928
..sv.,724,199276,288551648
^.sv,15,199985,5999550
.su$,39,199961,15596958
^.su,77,199923,30788142
..s..,70052,129948,18206234592
..su.,2660,197340,1049848800
.sq$,0,200000,0
^.st,597,199403,238087182
..sq.,218,199782,87104952
.ss$,221,199779,88302318
^.sq,25,199975,9998750
.st$,1189,198811,472772558
..ss.,5589,194411,2173126158
..st.,17449,182551,6370664798
^.ss,192,199808,76726272
.sr$,1,199999,399998
..sr.,430,199570,171630200
^.sr,13,199987,5199662
..sp.,3919,196081,1536882878
^.sp,307,199693,122611502
.sp$,2,199998,799992
..so.,4053,195947,1588346382
.so$,65,199935,25991550
^.so,219,199781,87504078
.sn$,0,200000,0
..sm.,2270,197730,897694200
..sn.,868,199132,345693152
.sm$,29,199971,11598318
^.sn,14,199986,5599608
^.sm,102,199898,40779192
.sl$,7,199993,2799902
.sj$,0,200000,0
.sk$,72,199928,28789632
..sl.,1556,198444,617557728
^.sk,66,199934,26391288
..sj.,646,199354,257565368
^.sl,63,199937,25192062
..sk.,4603,195397,1798824782
^.sj,3,199997,1199982
^.sh,84,199916,33585888
.sh$,24,199976,9598848
.sg$,0,200000,0
..sh.,1179,198821,468819918
^.si,257,199743,102667902
..sg.,519,199481,207061278
.si$,961,199039,382552958
^.sg,15,199985,5999550
..si.,14859,185141,5502020238
..sf.,708,199292,282197472
.sf$,3,199997,1199982
^.sf,33,199967,13197822
.sd$,2,199998,799992
..sd.,306,199694,122212728
^.sd,4,199996,1599968
.se$,2356,197644,931298528
..se.,7611,192389,2928545358
^.se,1760,198240,697804800
.sc$,31,199969,12398078
^.sc,372,199628,148523232
